score,job_id,title,url,matching_skills,gaps,verdict
5,2026-10021,2026-10021 - Post-Doctoral Research Visit F/M Bridging the gap between combinatorial proof theory and subatomic proof theory,https://jobs.inria.fr/public/classic/en/offres/2026-10021,"formal verification, security, verification",,Core FM role
5,2026-10135,2026-10135 - PhD Position F/M Post-Quantum Protocol Transition for Internet-of-Things Systems,https://jobs.inria.fr/public/classic/en/offres/2026-10135,"formal verification, security, verification, formal specification",,Core FM role
5,2026-10150,2026-10150 - PhD Position F/M Interoperability for Synthetic Mathematics in a Proof Assistant,https://jobs.inria.fr/public/classic/en/offres/2026-10150,"security, verification, proof assistant",,Core FM role
3,2025-08759,2025-08759 - Post-Doctoral Research Visit F/M Model placement in inference delivery networks,https://jobs.inria.fr/public/classic/en/offres/2025-08759,"security, programming language",,FM adjacent with relevant skills
3,2025-09182,2025-09182 - Post-Doctoral Research Visit F/M Scheduling Data-Intensive Applications in P2P Environments,https://jobs.inria.fr/public/classic/en/offres/2025-09182,"blockchain, security, distributed system",non-Paris location,FM adjacent with relevant skills
3,2025-09183,2025-09183 - Post-Doctoral Research Visit F/M Data management and job scheduling for Geo-distributed Workflows,https://jobs.inria.fr/public/classic/en/offres/2025-09183,"security, distributed system",non-Paris location,FM adjacent with relevant skills
3,2025-09315,2025-09315 - PhD Position F/M Optimizing serverless computing in the edge-cloud continuum,https://jobs.inria.fr/public/classic/en/offres/2025-09315,"security, distributed system",non-Paris location,FM adjacent with relevant skills
3,2025-09329,2025-09329 - PhD Position F/M Cost and Performance-Efficient Caching for Massively Distributed Systems,https://jobs.inria.fr/public/classic/en/offres/2025-09329,"security, distributed system",non-Paris location,FM adjacent with relevant skills
3,2026-09823,2026-09823 - Agentic AI for resource allocation in future networks,https://jobs.inria.fr/public/classic/en/offres/2026-09823,"security, distributed system",non-Paris location,FM adjacent with relevant skills
3,2026-09923,2026-09923 - Post-Doctoral Research Visit F/M Distributed Machine Learning at the Network Edge,https://jobs.inria.fr/public/classic/en/offres/2026-09923,"security, distributed system",,FM adjacent with relevant skills
3,2026-09952,2026-09952 - Post-Doctoral Research Visit F/M Physics-Informed Learning Models for Forecasting E-Flexibility in Electric Vehicles (EVs),https://jobs.inria.fr/public/classic/en/offres/2026-09952,"security, verification",non-Paris location,FM adjacent with relevant skills
3,2026-09980,2026-09980 - PhD Position F/M When Our Avatars Transform Us: Enhancing the VR User Experience by Modifying Avatar Movement,https://jobs.inria.fr/public/classic/en/offres/2026-09980,"security, programming language",non-Paris location,FM adjacent with relevant skills
3,2026-09990,2026-09990 - eMob-Twin: A Digital Twin for Electromobility Flexibility Forecast  Software Engineer,https://jobs.inria.fr/public/classic/en/offres/2026-09990,"security, verification",non-Paris location,FM adjacent with relevant skills
3,2026-10007,2026-10007 - Post-Doctoral Research Visit F/M Quantum causality in symmetry-constrained systems,https://jobs.inria.fr/public/classic/en/offres/2026-10007,"security, cryptography",,FM adjacent with relevant skills
3,2026-10008,2026-10008 - Research Engineer / Postdoctoral Researcher @Grenoble: Conditional Generative PDE Surrogates for Ocean Model,https://jobs.inria.fr/public/classic/en/offres/2026-10008,"security, verification",non-Paris location,FM adjacent with relevant skills
3,2026-10041,2026-10041 - Post-Doctoral Research Visit F/M Safe Planning for Markov Decision Processes,https://jobs.inria.fr/public/classic/en/offres/2026-10041,"security, verification",non-Paris location,FM adjacent with relevant skills
3,2026-10048,2026-10048 - DAE-based Contracts,https://jobs.inria.fr/public/classic/en/offres/2026-10048,"security, verification",non-Paris location,FM adjacent with relevant skills
3,2026-10054,2026-10054 - Post-Doctoral Research Visit F/M Distributed Learning for Streaming Data,https://jobs.inria.fr/public/classic/en/offres/2026-10054,"security, cryptography",non-Paris location,FM adjacent with relevant skills
3,2026-10061,2026-10061 - Software Development Engineer specialized in embedded systems for IoT SLICES-FR (F/M),https://jobs.inria.fr/public/classic/en/offres/2026-10061,"security, programming language, distributed system",non-Paris location,FM adjacent with relevant skills
3,2026-10062,2026-10062 - Signal Processing / Radio research engineer for CorteXlab,https://jobs.inria.fr/public/classic/en/offres/2026-10062,"security, programming language",non-Paris location,FM adjacent with relevant skills
3,2026-10066,2026-10066 - LPWAN wireless Gateway Open-Source Embedded Rust Prototyping,https://jobs.inria.fr/public/classic/en/offres/2026-10066,"security, consensus",,FM adjacent with relevant skills
3,2026-10071,2026-10071 - PhD Position F/M PhD Position F/M: How does Reasoning with LLM Help Repair Vulnerabilities in Repo-level Software Projects?,https://jobs.inria.fr/public/classic/en/offres/2026-10071,"security, programming language, static analysis",non-Paris location,FM adjacent with relevant skills
3,2026-10078,2026-10078 - PhD Position F/M Frugal Distributed Training with Volatile Resources,https://jobs.inria.fr/public/classic/en/offres/2026-10078,"security, distributed system",non-Paris location,FM adjacent with relevant skills
3,2026-10096,2026-10096 - Research Engineer F/M on Longitudinal Image-based Measurement of Scoliosis Change,https://jobs.inria.fr/public/classic/en/offres/2026-10096,"security, verification",non-Paris location,FM adjacent with relevant skills
3,2026-10097,2026-10097 - PhD Position F/M Physically-based skin models for 3D reconstruction and temporal tracking from multi-video observations,https://jobs.inria.fr/public/classic/en/offres/2026-10097,"security, verification",non-Paris location,FM adjacent with relevant skills
3,2026-10099,2026-10099 - PhD Position F/M Concurrent Autonomic Control for the Computing Continuum,https://jobs.inria.fr/public/classic/en/offres/2026-10099,"security, distributed system",,FM adjacent with relevant skills
3,2026-10105,2026-10105 - Post-Doctoral Research Visit F/M Benchmarks for Evaluating LLMs for Lean Elegance,https://jobs.inria.fr/public/classic/en/offres/2026-10105,"security, static analysis",,FM adjacent with relevant skills
3,2026-10106,2026-10106 - Apprentissage - Famille d’outils de génération de diagrammes à partir de modèles d’Infrastructure-as-Code (H/F),https://jobs.inria.fr/public/classic/en/offres/2026-10106,"security, distributed system",non-Paris location,FM adjacent with relevant skills
3,2026-10110,2026-10110 - PhD Position F/M Ontologies for research processes,https://jobs.inria.fr/public/classic/en/offres/2026-10110,"security, verification",,FM adjacent with relevant skills
